Department,Year2007,Year2010,Year2013
Concepcion,3376,30118,6881.508833
San Pedro,44368,28940,44403.63489
Cordillera,0,0,0
Guaira,1868,17,2182.611166
Caaguazu,154077,156653,49265.17498
Caazapa,75527,123897,40442.08645
Itapua,671810,81145,50553.42134
Misiones,5623,13,6377.954788
Paraguari,2,0,0
Alto Parana,1500000,1287509,117324.8621
Neembucu,0,0,0
Amambay,30319,5828,20847.29009
Canindeyu,863477,685272,116743.733
Alto Paraguay,0,0,518.9868708
Boqueron,0,0,666.7354454
