Department,Year2007,Year2010,Year2013
Concepcion,10932,18004,60140.07525
San Pedro,85630,248376,540087.7589
Cordillera,103,0,0
Guaira,4012,9211,26784.29599
Caaguazu,164842,245058,286070.9645
Caazapa,67183,68663,267956.3751
Itapua,175258,539042,399809.7463
Misiones,11869,50339,67415.05994
Paraguari,109,17,0
Alto Parana,110,399314,728931.4029
Neembucu,112,0,0
Amambay,84353,114318,285563.1062
Canindeyu,222152,557828,857662.3714
Alto Paraguay,0,0,3213.063754
Boqueron,0,0,4127.779746
