Department,Year2007,Year2010,Year2013
Concepcion,25256,27799,23380.24804
San Pedro,300669,336229,161703.7961
Cordillera,48,1,0
Guaira,13509,21256,8034.493855
Caaguazu,218262,565555,82176.83189
Caazapa,116789,158460,110601.3011
Itapua,376192,668552,113997.7787
Misiones,40819,26695,18517.83961
Paraguari,10,14,0
Alto Parana,0,507575,171377.7657
Neembucu,0,0,0
Amambay,67816,218643,102445.1902
Canindeyu,218063,215837,462837.2706
Alto Paraguay,0,0,763.1175024
Boqueron,0,0,980.3667812
