department,Concepcion,San Pedro,Cordillera,Guaira,Caaguazu,Caazapa,Itapua,Misiones,Paraguari,Alto Parana,Neembucu,Amambay,Canindeyu
South America,3376,44368,0,1868,154077,75527,671810,5623,2,1500000,0,30319,863477
EUROPEAN UNION,25256,300669,48,13509,218262,116789,376192,40819,10,0,0,67816,218063
CHINA,5538,37737,0,1718,122920,13607,118099,5171,1,0,0,37622,106390
Rest of World,10932,85630,103,4012,164842,67183,175258,11869,109,110,112,84353,222152
,x,,x,x,x,x,x,x,x,x,x,x,x
