Department,Year2007,Year2010,Year2013
Concepcion,5538,18,1980.077168
San Pedro,37737,1233,5628.53653
Cordillera,0,0,0
Guaira,1718,3,276.9159536
Caaguazu,122920,78,20192.74559
Caazapa,13607,22,8744.738279
Itapua,118099,28518,8371.047605
Misiones,5171,311,2174.875944
Paraguari,1,0,0
Alto Parana,0,13407,11757.25365
Neembucu,0,0,0
Amambay,37622,1101,4196.897465
Canindeyu,106390,19596,14997.13013
Alto Paraguay,0,0,62.49508939
Boqueron,0,0,80.28660027
