department,Concepcion,San Pedro,Cordillera,Guaira,Caaguazu,Caazapa,Itapua,Misiones,Paraguari,Alto Parana,Neembucu,Amambay,Canindeyu
Year2007,25256,300669,48,13509,218262,116789,376192,40819,10,0,0,67816,218063
Year2010,27799,336229,1,21256,565555,158460,668552,26695,14,507575,0,218643,215837
Year2013,23380.24804,161703.7961,8034.493855,82176.83189,110601.3011,113997.7787,18517.83961,0,171377.7657,102445.1902,462837.2706,763.1175024,980.3667812
